"Index","KernelName","gpu-id","queue-id","queue-index","pid","tid","grd","wgr","lds","scr","arch_vgpr","accum_vgpr","sgpr","wave_size","sig","obj","DispatchNs","BeginNs","EndNs","CompleteNs","DurationNs"
45,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,90,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895732546582,4069895732554729,4069895735099398,4069895735139409,2544669
46,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,94,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895735170539,4069895735181319,4069895737724548,4069895737763596,2543229
47,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,94,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895737784727,4069895737792869,4069895740330178,4069895740369908,2537309
48,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,98,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895740407421,4069895740421059,4069895742970689,4069895743005157,2549630
49,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,98,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895743030727,4069895743039010,4069895745592319,4069895745632731,2553309
50,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,102,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895745654874,4069895745664960,4069895748208989,4069895748249103,2544029
51,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,102,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895748266798,4069895748275390,4069895750822139,4069895750861548,2546749
52,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,106,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895750886015,4069895750895900,4069895753446810,4069895753483891,2550910
53,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,106,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895753509171,4069895753518805,4069895756057074,4069895756096657,2538269
54,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,110,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895756116836,4069895756126674,4069895758672143,4069895758712438,2545469
55,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,110,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895758728619,4069895758735824,4069895761268973,4069895761305425,2533149
56,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,114,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895761331666,4069895761341454,4069895763891244,4069895763930184,2549790
57,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#2}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,3,114,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72340",4069895763944501,4069895763951724,4069895766490474,4069895766525805,2538750
58,"void __acpp_kernel<main::{lambda(hipsycl::sycl::handler&)#3}::operator()(hipsycl::sycl::handler&) const::{lambda(hipsycl::sycl::id<2>)#1}>() [clone .kd]",4,2,118,68285,68285,256000000,256,0,0,16,0,32,64,"0x0","0x14e2b0f72300",4069895766551365,4069895766559434,4069895769092744,4069895769127800,2533310
